AHS 1,AHS 2,AHS 3,ARTS 1,ARTS 2,ARTS 3,ENG 1,ENG 2,ENG 3,ENV 1,ENV 2,ENV 3,MATH 1,MATH 2,MATH 3,SCI 1,SCI 2,SCI 3,building
,,,,,,10.0,0.0,10.0,,,,,,,,,,E7
,0.0,,,,,1.0,0.0,0.0,,,,,,,,,,OPT
0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,STJ
2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,MKV
,,,,,0.0,,,,,,,,8.0,,,,4.0,HH
,,,3.0,,4.0,,,,,,,,2.0,,,,4.0,AL
,,,4.0,,4.0,4.0,,,,,,,2.0,0.0,2.0,2.0,2.0,DWE
0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,MKV
,,,,,,,,0.0,,,,,,,,,,CPH
11.0,2.0,,,,,,,11.0,,,,,,,,,,PAS
0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,STJ
6.0,1.0,5.0,0.0,6.0,1.0,2.0,3.0,4.0,0.0,5.0,4.0,3.0,2.0,7.0,1.0,1.0,5.0,REV
,,,16.0,10.0,9.0,,,,,20.0,,22.0,,,,,,STP
,,,10.0,0.0,4.0,,,,,10.0,,11.0,4.0,,5.0,15.0,22.0,B1
,,,9.0,17.0,0.0,,,,,17.0,,14.0,0.0,,18.0,0.0,0.0,B1
6.0,10.0,6.0,3.0,0.0,0.0,8.0,6.0,11.0,2.0,3.0,9.0,10.0,5.0,0.0,0.0,3.0,10.0,V1
,0.0,,,,,,,,,,,,,,,,,OPT
8.0,11.0,0.0,,,,,,,,,,,,,8.0,,,AHS
14.0,0.0,15.0,,,,4.0,19.0,13.0,,,,,,,10.0,,,E7
2.0,2.0,5.0,7.0,0.0,6.0,6.0,0.0,2.0,4.0,8.0,0.0,8.0,4.0,2.0,0.0,0.0,5.0,V1
,,,2.0,4.0,,,,,,,,,,,,,,QNC
1.0,3.0,5.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,REV
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,STJ
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,REN
,,,9.0,18.0,8.0,,,,,9.0,,9.0,,,,,,STP
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,MKV
0.0,9.0,4.0,6.0,0.0,1.0,7.0,5.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,4.0,6.0,2.0,DWE
0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,REV
,,,,,,,,,,,,8.0,11.0,,0.0,3.0,16.0,B1
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,STJ
11.0,17.0,0.0,11.0,14.0,3.0,13.0,7.0,10.0,3.0,9.0,3.0,0.0,10.0,0.0,4.0,7.0,8.0,UWP
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,MKV
0.0,7.0,0.0,,,,,,,,,,,,,11.0,,,AHS
0.0,0.0,14.0,,,,,,,,,,7.0,13.0,,3.0,10.0,10.0,B1
1.0,0.0,1.0,,,,,,,,,,0.0,1.0,,0.0,0.0,0.0,OPT
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,MKV
0.0,6.0,1.0,7.0,6.0,4.0,6.0,0.0,5.0,4.0,1.0,1.0,2.0,1.0,5.0,7.0,0.0,7.0,V1
6.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,7.0,0.0,3.0,6.0,3.0,1.0,DWE
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MKV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MKV
